,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일,구,면적
1363399,2024-04-20,40,32,640,서초2동,서초2동,토,서초구,1.24
783462,2024-04-18,1045,19,3870,서초2동,양재1동,목,서초구,1.24
1278336,2024-04-19,1905,116,4058,서초2동,대치2동,금,서초구,1.24
896507,2024-04-18,1805,16,3811,서초3동,양재2동,목,서초구,2.93
1150182,2024-04-19,1315,9,1012,서초2동,역삼1동,금,서초구,1.24
892245,2024-04-18,1755,19,4297,서초2동,양재1동,목,서초구,1.24
1252591,2024-04-19,1820,49,4591,서초2동,개포2동,금,서초구,1.24
552666,2024-04-17,1725,5,997,서초2동,역삼1동,수,서초구,1.24
91580,2024-04-15,2020,65,10195,서초2동,한강로동,월,서초구,1.24
816377,2024-04-18,1335,11,1730,서초1동,방배3동,목,서초구,1.42
176503,2024-04-16,1235,5,960,서초3동,서초3동,화,서초구,2.93
1418490,2024-04-20,1255,57,683,서초4동,서초4동,토,서초구,0.88
994641,2024-04-18,2205,11,1352,서초4동,서초1동,목,서초구,0.88
223583,2024-04-16,1625,5,985,서초2동,서초2동,화,서초구,1.24
370017,2024-04-17,115,8,1065,서초2동,서초3동,수,서초구,1.24
1525898,2024-04-21,1350,16,2435,서초2동,양재2동,일,서초구,1.24
1283159,2024-04-19,1915,8,986,서초2동,도곡1동,금,서초구,1.24
961381,2024-04-18,2015,7,1056,서초3동,서초3동,목,서초구,2.93
1544944,2024-04-21,1455,101,30,서초4동,서초4동,일,서초구,0.88
642403,2024-04-17,2045,53,884,서초2동,역삼1동,수,서초구,1.24
422195,2024-04-17,835,15,2003,서초4동,서초2동,수,서초구,0.88
230233,2024-04-16,1645,40,2362,서초2동,잠원동,화,서초구,1.24
770648,2024-04-18,940,21,3230,서초1동,개포4동,목,서초구,1.42
1096788,2024-04-19,910,5,821,서초2동,양재1동,금,서초구,1.24
986158,2024-04-18,2135,3,498,서초4동,서초4동,목,서초구,0.88
1674263,2024-04-21,2315,10,1630,서초3동,방배1동,일,서초구,2.93
810639,2024-04-18,1305,23,3100,서초2동,반포2동,목,서초구,1.24
1391877,2024-04-20,805,9,810,서초1동,서초3동,토,서초구,1.42
1092076,2024-04-19,855,4,439,서초4동,서초2동,금,서초구,0.88
1599229,2024-04-21,1745,33,1078,서초2동,역삼1동,일,서초구,1.24
1344849,2024-04-19,2240,14,2303,서초3동,반포1동,금,서초구,2.93
1375941,2024-04-20,255,18,3643,서초3동,도곡2동,토,서초구,2.93
624773,2024-04-17,1950,53,884,서초2동,역삼1동,수,서초구,1.24
1260051,2024-04-19,1830,15,2040,서초1동,논현1동,금,서초구,1.42
361171,2024-04-16,2325,4,1850,서초2동,서초2동,화,서초구,1.24
1286372,2024-04-19,1925,9,2060,서초1동,역삼1동,금,서초구,1.42
1233907,2024-04-19,1750,99,13943,서초3동,삼선동,금,서초구,2.93
342516,2024-04-16,2150,55,10031,서초2동,석촌동,화,서초구,1.24
827701,2024-04-18,1430,5,1170,서초4동,서초4동,목,서초구,0.88
647492,2024-04-17,2105,6,990,서초2동,서초2동,수,서초구,1.24
1290338,2024-04-19,1935,8,930,서초4동,반포1동,금,서초구,0.88
843483,2024-04-18,1545,21,2502,서초2동,서초1동,목,서초구,1.24
169950,2024-04-16,1150,20,2407,서초4동,반포3동,화,서초구,0.88
1109724,2024-04-19,1000,7,1014,서초4동,서초1동,금,서초구,0.88
1592374,2024-04-21,1725,23,3026,서초4동,반포4동,일,서초구,0.88
68499,2024-04-15,1820,10,1473,서초3동,양재1동,월,서초구,2.93
935029,2024-04-18,1905,32,2659,서초3동,양재1동,목,서초구,2.93
1153406,2024-04-19,1330,14,1880,서초4동,서초4동,금,서초구,0.88
537067,2024-04-17,1645,9,330,서초2동,서초2동,수,서초구,1.24
635096,2024-04-17,2020,145,1822,서초2동,서초2동,수,서초구,1.24
1433559,2024-04-20,2155,36,2184,서초2동,역삼1동,토,서초구,1.24
1425994,2024-04-20,1605,19,3153,서초4동,반포4동,토,서초구,0.88
680608,2024-04-17,2320,8,1725,서초4동,서초1동,수,서초구,0.88
962541,2024-04-18,2020,9,1130,서초3동,서초1동,목,서초구,2.93
1329474,2024-04-19,2145,14,1818,서초3동,서초3동,금,서초구,2.93
735521,2024-04-18,810,23,4276,서초2동,삼성1동,목,서초구,1.24
999966,2024-04-18,2220,60,3481,서초1동,서초4동,목,서초구,1.42
1226958,2024-04-19,1735,18,4482,서초2동,양재1동,금,서초구,1.24
996108,2024-04-18,2210,57,5424,서초4동,서초2동,목,서초구,0.88
490120,2024-04-17,1325,4,429,서초2동,,수,서초구,1.24
1676461,2024-04-21,2330,13,2411,서초2동,양재2동,일,서초구,1.24
411340,2024-04-17,810,5,922,서초1동,서초1동,수,서초구,1.42
1261869,2024-04-19,1835,25,4394,서초4동,사당2동,금,서초구,0.88
1420814,2024-04-20,1340,4,698,서초3동,서초3동,토,서초구,2.93
1133246,2024-04-19,1205,15,2014,서초2동,서초3동,금,서초구,1.24
1143358,2024-04-19,1250,14,1569,서초3동,반포4동,금,서초구,2.93
1346010,2024-04-19,2245,14,2790,서초2동,도곡2동,금,서초구,1.24
818963,2024-04-18,1345,11,1730,서초1동,방배3동,목,서초구,1.42
406,2024-04-15,5,28,4579,서초4동,방배본동,월,서초구,0.88
1591246,2024-04-21,1720,31,5990,서초4동,대치2동,일,서초구,0.88
1289258,2024-04-19,1930,68,12150,서초2동,여의동,금,서초구,1.24
1247377,2024-04-19,1810,4,1158,서초3동,서초3동,금,서초구,2.93
742559,2024-04-18,825,34,5851,서초3동,대치2동,목,서초구,2.93
1399129,2024-04-20,855,5,932,서초2동,서초2동,토,서초구,1.24
1295357,2024-04-19,1945,91,21789,서초3동,신내2동,금,서초구,2.93
868829,2024-04-18,1705,14,629,서초4동,서초4동,목,서초구,0.88
928826,2024-04-18,1855,17,3558,서초1동,도곡1동,목,서초구,1.42
579969,2024-04-17,1815,35,5719,서초3동,개포1동,수,서초구,2.93
418338,2024-04-17,825,26,3876,서초2동,내곡동,수,서초구,1.24
1671400,2024-04-21,2250,219,44609,서초2동,목1동,일,서초구,1.24
1212769,2024-04-19,1705,7,1080,서초2동,서초4동,금,서초구,1.24
195687,2024-04-16,1420,9,979,서초3동,방배3동,화,서초구,2.93
763003,2024-04-18,910,16,3190,서초2동,양재2동,목,서초구,1.24
1487734,2024-04-21,1115,8,558,서초2동,서초2동,일,서초구,1.24
69235,2024-04-15,1820,6,1258,서초1동,서초2동,월,서초구,1.42
1401243,2024-04-20,905,14,1110,서초3동,서초3동,토,서초구,2.93
1138252,2024-04-19,1225,109,1820,서초4동,서초4동,금,서초구,0.88
174386,2024-04-16,1220,26,1982,서초2동,서초2동,화,서초구,1.24
1503608,2024-04-21,1225,10,1590,서초3동,서초1동,일,서초구,2.93
195484,2024-04-16,1420,30,3100,서초3동,사당1동,화,서초구,2.93
991942,2024-04-18,2155,28,4030,서초2동,방배4동,목,서초구,1.24
825119,2024-04-18,1415,118,460,서초3동,서초3동,목,서초구,2.93
1672134,2024-04-21,2300,11,2240,서초4동,서초3동,일,서초구,0.88
784466,2024-04-18,1050,10,1100,서초4동,서초4동,목,서초구,0.88
206200,2024-04-16,1515,35,5630,서초3동,용산2가동,화,서초구,2.93
344504,2024-04-16,2200,50,8659,서초2동,잠실6동,화,서초구,1.24
380519,2024-04-17,600,10,477,서초4동,역삼1동,수,서초구,0.88
1106558,2024-04-19,950,3,678,서초3동,서초3동,금,서초구,2.93
1288444,2024-04-19,1930,11,1390,서초2동,역삼1동,금,서초구,1.24
264684,2024-04-16,1810,11,1659,서초2동,서초1동,화,서초구,1.24
712792,2024-04-18,710,8,1324,서초1동,서초1동,목,서초구,1.42
895731,2024-04-18,1800,17,3036,서초2동,서초3동,목,서초구,1.24
870347,2024-04-18,1710,8,1286,서초3동,서초3동,목,서초구,2.93
1041806,2024-04-19,645,61,5212,서초2동,서초2동,금,서초구,1.24
1057600,2024-04-19,745,3,754,서초2동,서초1동,금,서초구,1.24
774825,2024-04-18,955,17,2185,서초3동,서초2동,목,서초구,2.93
1527132,2024-04-21,1355,18,2782,서초3동,반포3동,일,서초구,2.93
878487,2024-04-18,1730,6,1110,서초2동,서초4동,목,서초구,1.24
1333916,2024-04-19,2200,6,1299,서초2동,양재1동,금,서초구,1.24
548497,2024-04-17,1715,1,350,서초3동,서초3동,수,서초구,2.93
1288655,2024-04-19,1930,20,2935,서초2동,반포1동,금,서초구,1.24
560229,2024-04-17,1740,26,737,서초3동,서초3동,수,서초구,2.93
1575819,2024-04-21,1630,22,1019,서초1동,,일,서초구,1.42
763710,2024-04-18,910,4,702,서초2동,역삼1동,목,서초구,1.24
579784,2024-04-17,1815,13,1850,서초2동,반포1동,수,서초구,1.24
384387,2024-04-17,640,4,790,서초2동,서초2동,수,서초구,1.24
134184,2024-04-16,525,10,1740,서초2동,양재1동,화,서초구,1.24
1340366,2024-04-19,2220,62,5376,서초3동,사당1동,금,서초구,2.93
765612,2024-04-18,920,7,1773,서초1동,반포1동,목,서초구,1.42
895733,2024-04-18,1800,2,230,서초2동,양재1동,목,서초구,1.24
1119276,2024-04-19,1055,7,1340,서초3동,서초1동,금,서초구,2.93
1581034,2024-04-21,1650,36,1945,서초4동,논현1동,일,서초구,0.88
261803,2024-04-16,1805,57,4441,서초3동,,화,서초구,2.93
1367287,2024-04-20,115,54,11153,서초2동,문정2동,토,서초구,1.24
320186,2024-04-16,2025,85,4850,서초2동,양재2동,화,서초구,1.24
560638,2024-04-17,1745,16,3343,서초4동,방배1동,수,서초구,0.88
508633,2024-04-17,1455,118,2403,서초2동,서초2동,수,서초구,1.24
327720,2024-04-16,2055,81,8705,서초2동,성수2가3동,화,서초구,1.24
1606772,2024-04-21,1810,69,7018,서초2동,반포3동,일,서초구,1.24
1399025,2024-04-20,855,4,743,서초4동,서초2동,토,서초구,0.88
950389,2024-04-18,1945,5,750,서초2동,역삼1동,목,서초구,1.24
829776,2024-04-18,1440,72,14573,서초3동,목1동,목,서초구,2.93
1398512,2024-04-20,850,14,1110,서초3동,서초3동,토,서초구,2.93
1305223,2024-04-19,2015,24,2740,서초2동,양재1동,금,서초구,1.24
782352,2024-04-18,1040,10,1100,서초4동,서초4동,목,서초구,0.88
942879,2024-04-18,1925,16,982,서초1동,서초1동,목,서초구,1.42
195954,2024-04-16,1420,7,2370,서초2동,서초4동,화,서초구,1.24
1411797,2024-04-20,1100,6,1080,서초4동,서초2동,토,서초구,0.88
486891,2024-04-17,1310,6,766,서초2동,서초2동,수,서초구,1.24
601235,2024-04-17,1850,25,4240,서초2동,방배4동,수,서초구,1.24
1387411,2024-04-20,720,21,1250,서초2동,서초2동,토,서초구,1.24
28635,2024-04-15,720,14,2280,서초3동,역삼1동,월,서초구,2.93
23405,2024-04-15,655,10,2142,서초1동,서초2동,월,서초구,1.42
1586680,2024-04-21,1705,15,2120,서초4동,서초3동,일,서초구,0.88
313577,2024-04-16,2000,48,4707,서초2동,서초2동,화,서초구,1.24
366450,2024-04-17,30,45,7582,서초1동,신림동,수,서초구,1.42
326961,2024-04-16,2050,74,3439,서초3동,서초3동,화,서초구,2.93
1204382,2024-04-19,1640,30,5040,서초2동,반포3동,금,서초구,1.24
699530,2024-04-18,440,84,1911,서초1동,역삼1동,목,서초구,1.42
453949,2024-04-17,1020,7,1188,서초4동,서초4동,수,서초구,0.88
894432,2024-04-18,1800,13,2190,서초2동,반포4동,목,서초구,1.24
1262896,2024-04-19,1835,62,6027,서초4동,서빙고동,금,서초구,0.88
6206,2024-04-15,120,10,1281,서초3동,서초2동,월,서초구,2.93
1627033,2024-04-21,1920,31,4339,서초2동,삼성2동,일,서초구,1.24
306512,2024-04-16,1940,11,1521,서초2동,서초2동,화,서초구,1.24
1657325,2024-04-21,2135,3,664,서초2동,서초2동,일,서초구,1.24
1306149,2024-04-19,2020,21,1691,서초3동,서초2동,금,서초구,2.93
61369,2024-04-15,1725,3,648,서초3동,서초3동,월,서초구,2.93
1085486,2024-04-19,845,85,3600,서초3동,서초3동,금,서초구,2.93
543320,2024-04-17,1700,16,1340,서초2동,서초1동,수,서초구,1.24
618474,2024-04-17,1930,15,2470,서초4동,서초3동,수,서초구,0.88
1515764,2024-04-21,1315,18,2128,서초3동,역삼1동,일,서초구,2.93
177815,2024-04-16,1240,5,960,서초3동,서초3동,화,서초구,2.93
292076,2024-04-16,1900,14,2271,서초2동,반포1동,화,서초구,1.24
1029318,2024-04-19,240,4,870,서초1동,서초1동,금,서초구,1.42
930038,2024-04-18,1855,65,14737,서초2동,북아현동,목,서초구,1.24
653608,2024-04-17,2125,4,830,서초3동,서초3동,수,서초구,2.93
1027463,2024-04-19,205,11,1355,서초2동,도곡1동,금,서초구,1.24
1377686,2024-04-20,330,27,3148,서초2동,개포2동,토,서초구,1.24
132862,2024-04-16,420,3,582,서초2동,역삼1동,화,서초구,1.24
1059998,2024-04-19,750,19,3580,서초1동,내곡동,금,서초구,1.42
503741,2024-04-17,1430,40,3615,서초3동,반포3동,수,서초구,2.93
327718,2024-04-16,2055,55,10031,서초2동,석촌동,화,서초구,1.24
1589952,2024-04-21,1715,32,5310,서초4동,방배4동,일,서초구,0.88
377204,2024-04-17,440,140,28078,서초1동,상계8동,수,서초구,1.42
339868,2024-04-16,2140,4,650,서초3동,서초3동,화,서초구,2.93
257744,2024-04-16,1755,55,11085,서초3동,수서동,화,서초구,2.93
1454903,2024-04-21,615,81,679,서초4동,서초1동,일,서초구,0.88
66722,2024-04-15,1810,6,1258,서초1동,서초2동,월,서초구,1.42
372688,2024-04-17,200,9,930,서초4동,반포1동,수,서초구,0.88
801440,2024-04-18,1220,15,1600,서초2동,,목,서초구,1.24
1445965,2024-04-21,145,2,450,서초4동,서초4동,일,서초구,0.88
1063184,2024-04-19,800,6,1188,서초3동,서초2동,금,서초구,2.93
49644,2024-04-15,930,4,1080,서초1동,서초2동,월,서초구,1.42
322814,2024-04-16,2035,117,660,서초2동,당산2동,화,서초구,1.24
453878,2024-04-17,1020,8,1240,서초2동,서초2동,수,서초구,1.24
781794,2024-04-18,1035,2,620,서초4동,서초4동,목,서초구,0.88
1236336,2024-04-19,1755,16,2618,서초3동,서초2동,금,서초구,2.93
1275280,2024-04-19,1900,20,3596,서초2동,방배4동,금,서초구,1.24
1145272,2024-04-19,1255,13,1940,서초2동,서초2동,금,서초구,1.24
301756,2024-04-16,1925,19,3827,서초3동,양재2동,화,서초구,2.93
696445,2024-04-18,255,14,2480,서초1동,역삼1동,목,서초구,1.42
250061,2024-04-16,1740,14,2502,서초3동,방배4동,화,서초구,2.93
969510,2024-04-18,2040,24,2755,서초1동,역삼1동,목,서초구,1.42
1278334,2024-04-19,1905,26,4270,서초2동,방배2동,금,서초구,1.24
1127974,2024-04-19,1140,9,823,서초1동,서초1동,금,서초구,1.42
1217063,2024-04-19,1710,4,554,서초4동,서초4동,금,서초구,0.88
1332267,2024-04-19,2155,8,800,서초4동,서초4동,금,서초구,0.88
660322,2024-04-17,2150,8,1620,서초1동,역삼1동,수,서초구,1.42
733507,2024-04-18,805,6,300,서초1동,서초1동,목,서초구,1.42
1359856,2024-04-20,10,3,920,서초4동,서초4동,토,서초구,0.88
1620559,2024-04-21,1855,5,960,서초2동,서초2동,일,서초구,1.24
787230,2024-04-18,1105,49,4300,서초2동,양재1동,목,서초구,1.24
188089,2024-04-16,1335,46,5346,서초2동,사당3동,화,서초구,1.24
1167188,2024-04-19,1430,47,1468,서초4동,역삼1동,금,서초구,0.88
834187,2024-04-18,1500,9,854,서초2동,서초2동,목,서초구,1.24
1152214,2024-04-19,1325,32,2243,서초4동,서초4동,금,서초구,0.88
529370,2024-04-17,1620,6,88,서초3동,서초3동,수,서초구,2.93
133858,2024-04-16,515,10,1740,서초2동,양재1동,화,서초구,1.24
1221661,2024-04-19,1725,10,914,서초2동,서초2동,금,서초구,1.24
933788,2024-04-18,1905,11,1880,서초2동,서초2동,목,서초구,1.24
431323,2024-04-17,850,3,498,서초4동,서초4동,수,서초구,0.88
265599,2024-04-16,1810,2,473,서초3동,서초3동,화,서초구,2.93
1467188,2024-04-21,905,29,3837,서초3동,방배4동,일,서초구,2.93
79503,2024-04-15,1910,10,1581,서초4동,논현1동,월,서초구,0.88
1621190,2024-04-21,1900,7,790,서초3동,서초4동,일,서초구,2.93
104536,2024-04-15,2135,35,4706,서초2동,내곡동,월,서초구,1.24
1281870,2024-04-19,1910,80,18640,서초3동,수색동,금,서초구,2.93
74598,2024-04-15,1845,6,1220,서초2동,서초1동,월,서초구,1.24
1134831,2024-04-19,1210,6,1160,서초2동,서초4동,금,서초구,1.24
1156487,2024-04-19,1345,55,4313,서초2동,반포1동,금,서초구,1.24
1278828,2024-04-19,1905,29,5524,서초4동,방배1동,금,서초구,0.88
917447,2024-04-18,1835,32,2659,서초3동,양재1동,목,서초구,2.93
282526,2024-04-16,1840,7,879,서초4동,반포1동,화,서초구,0.88
529247,2024-04-17,1615,85,3120,서초3동,역삼1동,수,서초구,2.93
578023,2024-04-17,1815,6,622,서초2동,서초2동,수,서초구,1.24
692544,2024-04-18,135,1,142,서초2동,서초2동,목,서초구,1.24
1135411,2024-04-19,1215,48,5811,서초2동,사당3동,금,서초구,1.24
451824,2024-04-17,1010,8,1240,서초2동,서초2동,수,서초구,1.24
1458310,2024-04-21,735,5,759,서초2동,역삼1동,일,서초구,1.24
386313,2024-04-17,650,4,493,서초4동,서초4동,수,서초구,0.88
1651795,2024-04-21,2110,12,1338,서초1동,서초3동,일,서초구,1.42
1470416,2024-04-21,935,35,4140,서초3동,양재2동,일,서초구,2.93
894433,2024-04-18,1800,50,3060,서초2동,방배4동,목,서초구,1.24
1081506,2024-04-19,835,9,1419,서초2동,서초2동,금,서초구,1.24
286118,2024-04-16,1845,6,746,서초2동,서초1동,화,서초구,1.24
1481420,2024-04-21,1040,8,1532,서초2동,양재2동,일,서초구,1.24
4907,2024-04-15,100,25,4978,서초4동,대치2동,월,서초구,0.88
916330,2024-04-18,1835,102,15029,서초1동,장안1동,목,서초구,1.42
264564,2024-04-16,1810,9,1246,서초1동,반포1동,화,서초구,1.42
272208,2024-04-16,1820,11,1659,서초2동,서초1동,화,서초구,1.24
596997,2024-04-17,1845,5,1080,서초2동,서초1동,수,서초구,1.24
1112469,2024-04-19,1020,11,1797,서초1동,서초2동,금,서초구,1.42
542825,2024-04-17,1700,20,1889,서초2동,서초4동,수,서초구,1.24
255856,2024-04-16,1750,4,531,서초3동,서초3동,화,서초구,2.93
274549,2024-04-16,1825,11,1770,서초2동,양재2동,화,서초구,1.24
680429,2024-04-17,2320,6,1318,서초4동,반포1동,수,서초구,0.88
1534946,2024-04-21,1420,197,9549,서초2동,반포1동,일,서초구,1.24
849381,2024-04-18,1605,21,2502,서초2동,서초1동,목,서초구,1.24
439167,2024-04-17,915,4,789,서초3동,서초3동,수,서초구,2.93
960718,2024-04-18,2015,24,2755,서초1동,역삼1동,목,서초구,1.42
657574,2024-04-17,2140,9,1686,서초2동,양재1동,수,서초구,1.24
1466309,2024-04-21,900,8,1030,서초3동,서초3동,일,서초구,2.93
38,2024-04-15,0,23,2772,서초1동,역삼2동,월,서초구,1.42
476333,2024-04-17,1225,74,2076,서초4동,서초4동,수,서초구,0.88
490043,2024-04-17,1325,39,380,서초3동,서초3동,수,서초구,2.93
696942,2024-04-18,310,5,1210,서초3동,방배3동,목,서초구,2.93
98470,2024-04-15,2100,3,580,서초4동,서초4동,월,서초구,0.88
1322319,2024-04-19,2115,33,7050,서초4동,남현동,금,서초구,0.88
1255891,2024-04-19,1825,13,1343,서초2동,서초2동,금,서초구,1.24
548565,2024-04-17,1715,102,3552,서초2동,역삼1동,수,서초구,1.24
766296,2024-04-18,920,5,1067,서초1동,서초2동,목,서초구,1.42
759938,2024-04-18,855,8,1448,서초2동,서초4동,목,서초구,1.24
1334787,2024-04-19,2200,10,1742,서초3동,서초2동,금,서초구,2.93
1154508,2024-04-19,1335,6,776,서초2동,양재1동,금,서초구,1.24
1138713,2024-04-19,1230,30,3093,서초4동,서초3동,금,서초구,0.88
940869,2024-04-18,1920,38,5564,서초2동,사당3동,목,서초구,1.24
985566,2024-04-18,2135,30,5057,서초1동,개포1동,목,서초구,1.42
310547,2024-04-16,1950,11,1660,서초2동,서초3동,화,서초구,1.24
1107914,2024-04-19,955,39,2498,서초1동,서초4동,금,서초구,1.42
521171,2024-04-17,1550,21,1899,서초4동,서초2동,수,서초구,0.88
470250,2024-04-17,1155,50,1323,서초2동,서초2동,수,서초구,1.24
1571054,2024-04-21,1615,20,2595,서초2동,양재2동,일,서초구,1.24
1085725,2024-04-19,845,7,1550,서초1동,양재1동,금,서초구,1.42
241847,2024-04-16,1720,21,2660,서초1동,도곡2동,화,서초구,1.42
1250216,2024-04-19,1815,91,21789,서초3동,신내2동,금,서초구,2.93
1304391,2024-04-19,2015,11,1887,서초2동,양재2동,금,서초구,1.24
284790,2024-04-16,1845,13,1138,서초4동,서초3동,화,서초구,0.88
434955,2024-04-17,855,3,498,서초4동,서초4동,수,서초구,0.88
328374,2024-04-16,2055,30,4842,서초2동,방배본동,화,서초구,1.24
602382,2024-04-17,1855,62,14961,서초2동,망원1동,수,서초구,1.24
51828,2024-04-15,1200,4,417,서초2동,서초2동,월,서초구,1.24
157681,2024-04-16,1010,7,1200,서초4동,반포1동,화,서초구,0.88
1343524,2024-04-19,2230,22,3310,서초4동,논현1동,금,서초구,0.88
631921,2024-04-17,2010,23,4381,서초2동,반포4동,수,서초구,1.24
457587,2024-04-17,1045,9,1621,서초1동,서초2동,수,서초구,1.42
880308,2024-04-18,1730,6,717,서초2동,서초4동,목,서초구,1.24
523736,2024-04-17,1600,18,1452,서초4동,서초4동,수,서초구,0.88
1501551,2024-04-21,1220,12,2390,서초2동,서초3동,일,서초구,1.24
342486,2024-04-16,2150,5,137,서초1동,서초1동,화,서초구,1.42
1460326,2024-04-21,800,16,2470,서초2동,양재2동,일,서초구,1.24
202658,2024-04-16,1455,89,16128,서초3동,신정1동,화,서초구,2.93
176870,2024-04-16,1235,57,995,서초1동,서초1동,화,서초구,1.42
323483,2024-04-16,2040,52,3228,서초1동,서초2동,화,서초구,1.42
604228,2024-04-17,1900,8,1215,서초2동,서초2동,수,서초구,1.24
35857,2024-04-15,745,107,596,서초2동,서초2동,월,서초구,1.24
52233,2024-04-15,1210,21,1953,서초2동,반포1동,월,서초구,1.24
626530,2024-04-17,1955,13,2304,서초3동,양재2동,수,서초구,2.93
604942,2024-04-17,1900,31,3070,서초2동,서초3동,수,서초구,1.24
548531,2024-04-17,1715,5,862,서초1동,서초2동,수,서초구,1.42
